#iID	s3DModel	sMaxImage	sAllImage	sMemberImage	sSmallImage	iFriendly	sNpcName	sIntroduction	iGenderType	iMartialType	sTitle	后日谈ID
100012	TL_eastxi	B100012	100012	M100012	S100012	0	东方曦	与卓人清并列当年少年英雄会的冠军，为人忠厚耿直，性格木讷。受师命卧底于西域天龙教，后因认同天王理念而产生了动摇。深爱着妻子宫夕瑶。后因龙王与玄冥子安排的毒计，陷身于莫大灾祸之中，终为正邪两道所不容。	1	1	左护法	0
100013	TL_gongxiyao	B100013	100013	M100013	S100013	0	宫夕瑶	天王义女，也是东方曦的妻子，温柔，貌美，体贴。外柔内刚，有着极为坚强的内心。师承百花楼，是干达婆、紧那罗还有仙音的师妹。	0	1	玉笛雅仙	0
100014	Player	B100014	100014	M100014	S100014	0	东方未明	初出江湖的少年，胸怀壮志，一心想要成为像小虾米那样的大英雄。	1	2	江湖游侠	0
100015	Xyg_Xuan	B100015	100015	M100015	S800015	1	谷月轩	逍遥谷第四代大弟子，温文儒雅，气宇轩昂。曾与师弟荆棘、师妹卫紫绫在数年前大破辟邪宫阴谋，是当代武林的传奇人物。虽在辟邪宫一役中强使万象归一而使经脉受损、终身难至绝顶高手之境，其实力仍不可小觑。	1	2	逍遥大儒侠	0
100016	Xyg_Gingi	B100016	100016	M100016	S800016	1	荆棘	逍遥谷第四代二弟子，擅使刀剑，武艺十分高强。他的性格就像一团烈火，容易灼伤别人、也容易灼伤自己。然而在与谷月轩与卫紫绫、还有师弟东方未明的相处之中，逐渐变得温和，至今已是威望武功皆首屈一指的人物。	1	2	刀剑金蛟	0
100017	Xyg_master	B100017	100017	M100017	S100017	1	无瑕子	逍遥谷第三代掌门，年近七十，武学造诣极高，曾与其交过手的前辈几乎均已仙逝，故无人知道其武功现在已至何等境地。在江湖上德高望重，近年来已不太出谷，专心研究琴、棋、书、画。	1	2	逍遥散人	0
100018	Xyg_Xuanmin	B100018	100018	M100018	S100018	0	玄冥子	无瑕子的师弟，原本也是逍遥谷传人，在无瑕子跟萧潇之间，有着一段不为人知的纠葛。后叛出逍遥谷，投奔天龙教，为人阴狠，十分懂得利用人性的弱点。身具百年前失传的「化功大法」绝活，并擅于用毒。	1	1	辣手毒心	0
100019	Xyg_Hu	B100019	100019	M100019	S100019	1	老胡	逍遥谷的仆人，平日张罗打点谷内日常事务。十分擅长铸造，常打造兵器下山贩卖，维持谷内的开销。身世不详，似乎家学渊源，有一把家传的冷月宝刀，刀法实力，极其深厚。	1	2	逍遥忠仆	0
100020	Xyg_Xiao	0	0	0	0	0	萧潇	身世不详。与无瑕子，玄冥子之间，有着不为人知的纠葛。	0	2	白发魔女	0
100021	Xyg_wanglong	B100021	100021	M100021	S100021	1	王蓉	塞外好汉王虎之女，逍遥谷的小师妹。天资灵慧聪颖，娇美顽皮。精于厨艺，口才极好。	0	2	俏江南	0
100022	Etc_54jie	B100022	100022	M100022	S100022	0	贾云长	五岳四龙之一，浑号「日月大刀」。	1	0	日月大刀	0
100023	Etc_54lei	B100023	100023	M100023	S100023	0	雷震天	五岳四龙之一，浑号「轰天槌」。	1	0	轰天槌	0
100024	Etc_54zhao	B100024	100024	M100024	S100024	0	赵惊风	五岳四龙之一，浑号「快捷一阵风」。	1	0	快捷一阵风	0
100025	Etc_54sai	B100025	100025	M100025	S100025	0	赛飞鸿	五岳四龙之一，浑号「万夫莫敌」。	1	0	万夫莫敌	0
100026	Wyg_Wine	B100026	100026	M100026	S100026	1	醉仙	忘忧七贤之一，嗜酒如命，每逢酒中知己便不醉无休。忘忧谷内武功最高者，身负醉拳与醉棍的绝学，却绝不在人前显露。惟有能在划拳上赢得他心服口服，才有缘得见。	1	29	忘忧七贤	0
100027	Wyg_Chess	B100027	100027	M100027	S100027	1	橘叟	忘忧七贤之一，最擅棋艺。更能以棋子为暗器，施展「满天流星」「满天花雨」的绝技。	1	29	忘忧七贤	0
100028	Wyg_Doctor	B100028	100028	M100028	S100028	1	神医	忘忧七贤之一，沈湘芸之父，悬壶济世的名医，忘忧七贤中在江湖走动最多的一人。	1	29	忘忧七贤	0
100029	Wyg_Music	B100029	100029	M100029	S100029	1	仙音	忘忧七贤之一，精于音律。传说她所弹奏的乐曲有如天籁之音，能控制人的喜怒哀乐。	0	29	忘忧七贤	0
100030	Wyg_Book	B100030	100030	M100030	S100030	1	书生	忘忧七贤之一，落笔如神，行草隶篆皆有所长，能尽摹天下名帖。少年时也曾是江湖游侠，与丐帮长老李浩相交莫逆。	1	29	忘忧七贤	0
100031	Wyg_Paint	B100031	100031	M100031	S100031	1	丹青	忘忧七贤之一，画坛怪才，从天龙八部图中自创拳法「天龙八部功」。	1	29	忘忧七贤	0
100032	Wyg_Flower	B100032	100032	M100032	S100032	0	花翁	居住于洛阳城，热爱园艺的男子，自从见到任清璇以后，就为她的气质与美貌深深着迷，相信自己见到了传说中的「姚黄仙子」。看似平凡，其实是一位深藏不露的武林高人，懂得失传已久的「百花错拳」。	1	29	忘忧七贤	0
100033	Wyg_yPoison	B100033	100033	M100033	S100033	1	沈澜	怪医之女，个性怪癖，最喜欢钻研毒术，隐居在谷外的大森林中。	1	0	怪医少女	0
100034	SwordHoly	B100034	100034	M100034	S100034	0	剑圣	少时便名噪江湖，剑法精妙，无人能当，世人皆称之为剑圣，真名已佚，后厌倦江湖，十年前隐居剑庐。	1	0	花仙	0
100035	Wyg_sheng	B100035	100035	M100035	S100035	1	沈湘芸	娴雅端秀，为忘忧谷神医之女。通灵体质，平素温和善良，有些小任性。但对厌恶的人事物毫不假以辞色。喜欢研究新的丹药，有收集伞的嗜好。	0	29	小医仙	0
100036	WD_Gushi	B100036	100036	M100036	S100036	1	古实	武当派古叶之子，为人正直憨厚。武功虽平平，不过生性不服输，苦干实练，有朝一日终可有所成，非常喜爱品茶。	1	3	以柔克刚	0
100037	WD_fang	B100037	100037	M100037	S100037	1	方云华	武当派大弟子。相貌堂堂，风流倜傥，武功为当代弟子之首，自称是风流剑客。除了女人之外，对于历代书法名家的作品也多有偏爱。	1	3	玉面侠剑	0
100038	WD_master	B100038	100038	M100038	S100038	0	卓人清	现任武当掌门，与易兰有一段不为人知的过往。因方云华人品不佳、性格跋扈，担心武当的未来。有意要将掌门之位传于武功平平，却为人敦厚的古实，却不料就此埋下武当内乱的隐忧。	1	3	真武道人	0
100039	WD_wife	B100039	100039	M100039	S100039	0	卓夫人	卓人清妻子。	0	3	修真玉女	0
100040	WD_guya	B100040	100040	M100040	S100040	0	古叶	与卓人清、庄人骏并称武当三圣。于太极拳的造诣极高。	1	3	虚谷道人	0
100041	WD_older	B100041	100041	M100041	S100041	0	庄人骏	与卓人清、古叶并称武当三圣。于太极剑的造诣极高。	1	3	清音道人	0
100042	WD_pupil	B100042	100042	M100042	S100042	0	武当弟子	武当弟子	1	3	武当弟子	0
100043	SL_Xue	B100043	100043	M100043	S100043	1	虚真	少林寺慧能大师所收之徒弟，悟性极高，佛缘也深，法名虽是虚字辈，但论辈分却是少林方丈的师弟。五年前大喜之日因新娘逃婚，看破红尘，一心求死，为慧能所救，传其降魔棍法。	1	4	伏虎罗汉	0
100044	SL_master01	B100044	100044	M100044	S100044	0	无因方丈	现任少林方丈，无字辈的大师兄。十年前联络正道高手击败天龙教，囚禁厉苍天的主谋。然而令他始料不及的是，厉苍天的继任者龙王，比其兄更为狡诈凶险，天龙教并未因教主被擒而没落，反而更加壮大。	1	4	少林三神僧	0
100045	SL_Wuse	B100045	100045	M100045	S100045	0	无色	少林般若堂首座，对本门七十二绝艺有着极深厚的浸淫，号称少林武痴。统管少林十八铜人。	1	4	少林三神僧	0
100046	SL_Wuhei	B100046	100046	M100046	S100046	0	无慧	少林罗汉堂首座。	1	4	少林三神僧	0
100047	SL_Wucheng	B100047	100047	M100047	S100047	0	无嗔	少林达摩堂首座，方丈无因以下的少林第一高手，无戒的亲兄弟。对无戒背叛少林一事耿耿于怀，一心要将其捉回少林处置。	1	4	降龙罗汉	0
100048	SL_Wujie	B100048	100048	M100048	S100048	0	无戒	少林达摩堂武僧，盗取藏经阁至宝，成为少林叛徒。为逃避少林追杀，隐姓埋名躲在洛阳。常常出没于洛阳赌坊的地下拳市，靠打黑市拳赚钱挥霍。	1	4	不戒恶僧	0
100049	SL_Pupil	B100049	100049	M100049	S100049	0	少林门人	少林弟子	1	4	少林门人	0
100050	SL_Pupil02	B100049	100049	M100049	S100049	0	少林门人	少林弟子	1	4	少林门人	0
100051	Golden18_blade	B100050	100050	M100050	S100050	0	十八铜人	十八铜人	1	4	金身罗汉	0
100052	Golden18_staff	B100050	100050	M100050	S100050	0	十八铜人	十八铜人	1	4	金身罗汉	0
100053	Golden18_cuff	B100050	100050	M100050	S100050	0	十八铜人	十八铜人	1	4	金身罗汉	0
100054	XL_ren	B100054	100054	M100054	S100054	1	任清璇	貌如月季，态拟水仙。个性善良，但不易和人亲近，身世鲜为人知。此人深爱花艺，对各类花卉如数家珍，身上会散发出一股淡淡花香，是个谜样的女子。	0	5	姚黄仙子	0
100055	Lier_zhao	B100055	100055	M100055	S100055	1	赵雅儿	小名紫衣，外表清纯美丽，看似柔弱婉约，其实是诈骗集团中人。因自幼长于满是骗徒的奸狡环境中，而养成多疑，敏感，善于伪装的性格。倾慕强大的男性，对于信任的人也会以真心相待。	0	0	江湖游侠	0
100056	Hunter_ziwen	B100056	100056	M100056	S100056	1	纪玟	一头红发，容姿艳丽。兽王庄四庄主，自小由叔父万青山一手带大。耳濡目染，对于捕兽、驯兽颇有办法，手中的皮鞭乃其八岁那年所杀的巨鳄皮制成。个性独立，脾气泼辣。	0	6	河东狮	0
100057	Pili_red	B100057	100057	M100057	S100057	1	秦红殇	霹雳堂护法，一心想重振霹雳堂威名。看似高傲强悍，实则内心也有柔情似水的一面。	0	7	霹雳火	0
100058	DL_blue	B100058	100058	M100058	S100058	1	蓝婷	毒龙教历任最年轻的教主。面貌姣好，有苗家姑娘的直率与天真，却又有手段狠毒的一面，让人着实猜不透她的心。擅长使毒、淬毒；喜爱江南丝绸织品。	0	8	毒龙教主	0
100059	Etc_shiyan	B100059	100059	M100059	S100059	1	史燕	身世不详，人称「盗墓燕」。由于从小便是孤儿，养成独立而古灵精怪的个性，见钱眼开，喜好一切的财宝古玩，尤以金饰为甚。	0	0	盗墓燕	0
100060	Fist_chili	B100060	100060	M100060	S100060	1	齐丽	野拳门门主齐老之独生女，娇俏而生性乖巧，爱吃酸甜的零嘴。平时随着齐老在街头卖艺，无意习武，一心只想做个普通的姑娘。	0	9	江湖游侠	0
100061	killer_snow	B100061	100061	M100061	S100061	1	风吹雪	天意城杀手，代号为「花」。为四大杀手之一「恃」的徒弟。忠于组织，外冷内热；容貌秀美，气质孤傲。平日作男性打扮行动。师父「恃」因任务失败而死，此后便一直等待着为师父复仇的机会。	0	10	天意之花	0
100062	killer_snow2	B100062	100062	M100062	S100062	1	风吹雪	谈吐优雅，风度翩翩的奇男子，拥有一张比女人还美的面孔。深谙酒道，喜酒具聊若指掌。	0	10	多情公子	0
100063	killer_black	B100063	100063	M100063	S100063	0	花	神秘的黑衣杀手，没有人知道其真实身分。	0	10	神秘杀手	0
100064	Fist_master	B100064	100064	M100064	S100064	0	齐老	野拳门门主，这世间唯一掌握野球拳精髓之人，却也是野拳门由盛而衰的直接见证。身患奇症而不能长时间习武，然而家境贫寒又请不起大夫，只得在洛阳定居，与女儿齐丽靠卖艺为生。	1	9	野拳门主	0
100065	Guanfu_Gan	B100065	100065	M100065	S100065	1	史刚	威震中原的名捕，曾获皇帝亲自御赐「铁面无私」令牌一面，官拜三品，盗匪闻之丧胆。多年前曾将土鼠寨上下二十个土匪一举成擒，传为美谈。对陶瓷艺品多有喜爱。	1	11	铁面无私	0
100066	Guanfu_shiyi	B100066	100066	M100066	S100066	1	史义	绿林好汉，豪气干云。喜欢寻宝，对人常自称是水浒英雄史进的后代。	1	24	九头龙	0
100067	DL_yellow	B100067	100067	M100067	S100067	0	黄娟	毒龙教二教主，认为自己比教主蓝婷更有领导才能，千方百计想要坐上掌教之位。格言是「只有我，才能带领毒龙教走向辉煌！」	0	8	蛇蝎美人	0
100068	DL_pupil	B100068	100068	M100068	S100068	0	毒龙教众	毒龙教弟子	0	8	毒龙教众	0
100069	DL_pupil2	B100069	100069	M100069	S100069	0	毒龙教众	毒龙教弟子	1	8	毒龙教众	0
100070	Pili_pupil	B100070	100070	M100070	S100070	0	霹雳帮众	霹雳帮众	1	7	霹雳帮众	0
100071	Sword_master	B100071	100071	M100071	S100071	0	西门玄	天剑门门主。性情刚烈，不服输。自年轻时便不断找高人比试，在战斗中提升自己。到中年虽有所收敛，但遇到上门挑战者还是来者不拒。与长虹镖局关长虹、河洛大侠江天雄并称洛阳三杰。	1	12	一剑擎天	0
100072	Sword_Feng	B100072	100072	M100072	S100072	1	西门峰	天剑门门主西门玄之子，性子直而暴躁，为人霸道，自大。在江湖上以狂风剑法闯出名号，固有西门狂风之称。曾经打败山东三刀，更断其手腕。平常以古董收藏为乐。	1	12	狂风快剑	0
100073	Sword_pupil	B100073	100073	M100073	S100073	0	天剑门人	天剑门弟子	1	12	天剑门人	0
100074	Jiang_Tian	B100074	100074	M100074	S100074	0	江天雄	本是洛阳富商之后，却有着极高的武学天赋。外表正直，常行侠仗义，为善一方，人称河洛大侠。与天剑门主西门玄、长虹镖局关长虹并称洛阳三杰。交友广阔，人脉极广，但光鲜的背后，似乎有着不为人知的重大秘密。	1	0	河洛大侠	0
100075	Jiang_Yu	B100075	100075	M100075	S100075	1	江瑜	河洛大侠江天雄之子，年纪轻轻便已得其父天罡拳真传。谦和有礼，心思缜密。平日喜欢与白马寺住持灵相禅师讨论佛学，对于佛学涉猎极深。	1	0	小神童	0
100076	Jiang_pupil	0	0	0	0	0	江府家丁	江府家丁	1	0	江府家丁	0
100077	Biao_master	B100077	100077	M100077	S100077	0	关长虹	长虹镖局总镖头，相传乃三国名将关羽后人，精研祖传刀法，招法刚猛。与天剑门主西门玄、河洛大侠江天雄并称洛阳三杰。	1	13	云龙无际	0
100078	Biao_Wei	B100078	100078	M100078	S100078	1	关伟	长虹镖局总镖头关长虹之子，在洛阳城小有名声，以「青龙刀法」闯荡江湖，劫镖贼闻其名多有戒慎。喜爱着幼时玩伴齐丽，从小习练书法，在笔墨之间小有成就。	1	13	碧海刀	0
100079	Biao_pupil	B100079	100079	M100079	S100079	0	长虹镖师	长虹镖局的镖师	1	13	长虹镖师	0
100080	TM_master	B100080	100080	M100080	S100080	0	唐飞	唐门门主，城府极深，无论何时，脸上总是挂着让人难以捉摸的笑容，向来与中原各大门派不合。	1	14	笑里藏刀	0
100081	TM_Guannan	B100081	100081	M100081	S100081	1	唐冠南	唐门掌门人唐飞之子，为人奸险，武艺阴毒，杀人不眨眼。平日爱玩乐，一派公子哥行径，但似乎十分疼爱妹妹唐中慧。	1	14	万里毒行	0
100082	TM_Chunhei	B100082	100082	M100082	S100082	1	唐中慧	唐冠南之妹，唐家的掌上明珠。浸染于日益阴损毒辣的唐门之中，却是出淤泥而不染。性格善解人意。	0	14	紫飞刀	0
100083	TM_pupil	B100083	100083	M100083	S100083	0	唐门门人	唐门弟子	1	14	唐门门人	0
100084	Blade_master	B100084	100084	M100084	S100084	0	夏侯城	绝刀门门主。性格与西门玄截然相反，对本门刀法敝帚自珍，从不与人比试。除了门下弟子，再难有人见识到其武功高低。	1	15	绝命一刀	0
100085	Blade_Fei	B100085	100085	M100085	S100085	1	夏侯非	绝刀门少门主，尽得其父夏侯城之真传，将绝刀门「十三绝刀」融会贯通，自创出回旋刀法，以破解天剑门的天剑七式为毕生目标。为人正义但个性急躁，对于茶道颇有研究。对青梅竹马的年芙蓉有情。	1	15	阴阳刀	0
100086	Blade_pupil	B100086	100086	M100086	S100086	0	绝刀门人	绝刀门弟子	1	15	绝刀门人	0
100087	Killer_Yeh	B100087	100087	M100087	S100087	0	叶孤	崆峒派弟子，个性孤僻，不善言辞，自幼受其父影响，对古董有极度的兴趣，以一套崆峒拳法独步江湖。	1	11	江湖游侠	0
100088	BG_master	B100088	100088	M100088	S100088	0	商鹤鸣	八卦门掌门。采武当太极之长，创八卦刀法与八卦掌法，招式迅猛凶险，与道家修身养性的门风不符，故而为正道中人所蔑视。商鹤鸣却不以为意，还常常自鸣得意，自诩「当世第一武学家」。	1	16	银髯金刀	0
100089	BG_sheng02	B100089	100089	M100089	S100089	1	商仲仁	八卦门商鹤鸣之子。一手八卦刀，炉火纯青，招招不留情，人称九转连环刀。为人小奸恶、喜算计，志在振兴八卦门。喜好附庸风雅，收藏各名家字帖，藉以掩饰其恶性。	1	16	九转连环刀	0
100090	BG_pupil	B100090	100090	M100090	S100090	0	八卦门人	八卦门弟子	1	16	八卦门人	0
100091	TS_Yang	B100091	100091	M100091	S100091	1	杨云	雍容的酒之君子，与傅剑寒为知交，两人不打不相识。与傅剑寒对酒的见解大异其趣。	1	21	江湖游侠	0
100092	Etc_fu	B100092	100092	M100092	S100092	1	傅剑寒	无门无派的游侠。生性潇洒，交游广阔。好饮酒，酒量无底。擅使剑，剑法多变。与杨云为莫逆之交。	1	0	江湖游侠	0
100093	Weapon_master	B100093	100093	M100093	S100093	0	任浩然	铸剑山庄庄主，终生与剑为伴，单凭听音观影便可知剑的优劣。唯武功不济，无力维持任家的江湖地位，在天龙教与武林正道之间摇摆不定，随时准备屈从于强者。	1	18	铸剑庄主	0
100094	Weapon_nan	B100094	100094	M100094	S100094	1	任剑南	铸剑山庄少庄主，任家世代以铸剑为志，不少神兵皆是出自铸剑山庄。好玩乐，喜古画。沉迷音律，荒于铸剑，武功平常。手中的白晶剑削铁如泥，兵家必争。	1	18	白晶剑客	0
100095	Weapon_pupil	B100095	100095	M100095	S100095	0	护剑使	铸剑山庄弟子	1	18	护剑使	0
100096	BC_Gong	B100096	100096	M100096	S100096	1	巩光杰	百草门掌门人，擅长采集药草，制作丹药。一心想将百草门经营成横贯天下的商业门派。商人性格，以利为先。喜交友，对朋友极有义气且大方，但对合不来的人十分刻薄冷漠。传言此人喜欢古董，但不知道特别喜欢那一种类。	1	17	神农再世	0
100097	BC_pupil	B100097	100097	M100097	S100097	0	百草门人	百草门弟子	1	17	百草门人	0
100098	Gb_Xiaoyao	B100098	100098	M100098	S100098	1	萧遥	自幼便遭继父赶出家门，拜入丐帮大忠堂。悟性颇高，爱书成痴，尤对古代的历史及小说颇有涉猎。也喜品尝美食，拥有一身死缠滥打的功夫。	1	19	见人伸手	0
100099	Gb_master	B100099	100099	M100099	S100099	0	柯降龙	上任丐帮帮主，武林名宿，身负神龙腿法、降龙十八掌等多门绝学。为人热血侠义，在江湖颇有声望。平生只有一个弱点，一旦闻到了叫化鸡的味道，便走不动路。	1	19	飞天神龙	0
100100	Gb_Lihou	B100100	100100	M100100	S100100	0	李浩	丐帮大义堂堂主，掌杭州分舵。只要得知忠臣遭人陷害，便决心不惜一切代价，也要将其救出。	1	19	大力神丐	0
100101	Gb_older	B100101	100101	M100101	S100101	0	丐帮长老	丐帮长老，没有人知道他的名字	1	19	九袋长老	0
100102	Gb_pupil01	B100102	100102	M100102	S100102	0	丐帮帮众	丐帮八袋以下的帮众	1	19	丐帮帮众	0
100103	Gb_pupil02	B100102	100102	M100102	S100102	0	丐帮帮众	丐帮八袋以下的帮众	1	19	丐帮帮众	0
100104	killer_poison	B100104	100104	M100104	S100104	0	毒	天意城的杀手，本名不详。因长期修练毒功而使全身肌肤都呈现十分恐布的紫灰色，乍看之下有如鬼怪。毒术十分高强，不在玄冥子与摩乎罗迦之下。	1	10	天意之毒	0
100105	killer_sex	B100105	100105	M100105	S100105	0	浪	天意城的杀手，本名不详。是个妖娇美艳的女子，有着足以令任何男人心动的美妙躯体。生性浪荡，擅长以色诱术杀敌。然而她的身上似乎有一些小秘密？	1	10	天意之浪	0
100106	killer_crazy	B100106	100106	M100106	S100106	0	狂	天意城的杀手，本名不详。是个十足的疯子，杀人的手段十分残忍，往往要将目标用乱拳活活打死。下手明目张胆，猖狂之极。	1	10	天意之狂	0
100107	Robber_big	B100107	100107	M100107	S100107	0	焦大	著名的江洋大盗，五短身材、略有些驼背，但轻功却十分了得。双手各戴一副尺余长的铁爪，杀伤力惊人。	1	27	焦氏双恶	0
100108	Robber_small	B100108	100108	M100108	S100108	0	焦小	著名的江洋大盗，焦大的弟弟。身材高大，与兄长成鲜明对比。双手各戴一副沉重的铁手套，以蛮力取胜。	1	27	焦氏双恶	0
100109	Robber_black	B100109	100109	M100109	S100109	0	黑无常	与白无常并称黑风双煞，在酆都中地位仅次于帮主与四大舵主。以十分古怪诡异的锁链作为武器，外貌与穿着都不似活人，大半夜出现在路上，足以将人活活吓死。	1	40	黑风双煞	0
100110	Robber_white	B100110	100110	M100110	S100110	0	白无常	与黑无常并称黑风双煞，在酆都中地位仅次于帮主与四大舵主。手持血红色的双刀，出手诡谲难测，能出奇不意的割下敌人头颅。面色惨白，比死人还要难看，令人一见就怕。	1	40	黑风双煞	0
100111	Robber_Heifon	B100111	100111	M100111	S100111	0	黑风寨众	黑风寨帮众，欺善怕恶的小人	1	27	黑风寨众	0
100112	Lier_tiger	B100112	100112	M100112	S100112	0	郝虎	焦小的二弟子，手使一柄大环刀，但武功稀松平常。头脑简单，反应迟钝，却喜欢耍小聪明。	1	27	龙兄虎弟	0
100113	Lier_dragon	B100113	100113	M100113	S100113	0	巴龙	焦小的大弟子。出身蒙古草原，体型健硕，性格火爆冲动，是郝虎的结拜大哥。	1	27	龙兄虎弟	0
100114	Etc_general	B100114	100114	M100114	S100114	0	戚将军	当今朝廷硕果仅存的忠臣良将，忠君爱国，树功甚伟。一心想找出东厂勾结外寇之证据。	1	11	忠字当头	0
100115	East_chen	B100115	100115	M100115	S100115	0	陈公公	原名陈崇英。东厂头目，手段阴狠，武功造诣不明。是当今朝中最令忠臣义士切齿痛恨的一人。借囚禁戚将军的机会，打算诱出与朝廷作对的江湖人，并将他们一网打尽。	1	20	东厂不败	0
100116	East_killer	B100116	100116	M100116	S100116	0	东厂杀手	东厂杀手，为了任务连自己老妈都能杀	1	20	东厂杀手	0
100117	Guanfu_pupil	B100117	100117	M100117	S100117	0	衙门官兵	衙门官兵，是个尽忠职守的好人	0	11	六扇门人	0
100118	TS_master	B100118	100118	M100118	S100118	0	何未峰	天山派掌门，性格敦厚，为人迟钝，对夫人易兰言听计从。始终不知道何秋娟并非自己的亲生女儿，将其爱如掌上明珠。	1	21	天山青剑	0
100119	TS_Yilan	B100119	100119	M100119	S100119	0	易兰	天山掌门何未峰之妻。因年少时与武当卓人清的一段孽缘，珠胎暗结，却又因门户之别而无法成婚。无奈嫁给比自己老二十岁的何未峰，从此对世间男人恨之入骨。	0	21	雪中兰	0
100120	TS_Juan	B100120	100120	M100120	S100120	0	何秋娟	从小便被灌输「天下的男人没一个是好东西」的思维，所以对男人警戒心强，忌恶如仇，对于轻薄的男子更是杀之而后快。喜好刺绣，是个敢恨不敢爱的女孩。	0	21	雪岭娇侠	0
100121	TS_pupil	B100121	100121	M100121	S100121	0	天山门人	天山派弟子	1	21	天山门人	0
100122	CC_purple	B100122	100122	M100122	S100122	0	紫阳子	青城派长老，身负紫阳神功，实力在青城派堪居前三。性格狠辣，野心勃勃。	1	22	紫青双剑	0
100123	CC_green	B100123	100123	M100123	S100123	0	青霞子	青城派长老，以一套青霞剑法闻名，据说其武功已隐隐超越青城掌门。为人正直，但性情过于敦厚，而缺少防人之心。	1	22	紫青双剑	0
100124	CC_pupil	B100124	100124	M100124	S100124	0	青城门人	青城派弟子	1	22	青城门人	0
100125	WS_Cao	B100125	100125	M100125	S100125	0	曹萼华	华山掌门曹岱的掌上明珠，自幼便是华山之宝，人人对其呵护倍至，过度保护造成其对江湖认识不清。容貌美丽，个性软弱，武功平平，但总有许多护花使者自告奋勇以搏其欢心。	0	23	华山之光	0
100126	TL_eat	B100126	100126	M100126	S100126	0	吃	贪嘴好食的大胃王，每到一处，必吃遍当地美食，而且从不付账。	1	33	七大恶人	0
100127	TL_drink	B100127	100127	M100127	S100127	0	喝	暴躁粗鲁，膂力惊人。酒量奇大，千杯不醉。常与人以酒赌命，却从未输过，相反因此丧生在其拳下的江湖人却不计其数。	1	33	七大恶人	0
100128	TL_sex	B100128	100128	M100128	S100128	0	嫖	为人好色，轻功奇佳。常常出入民家，不知祸害过多少良家女子。名言是：「女人说不要，那就是要！」	1	33	七大恶人	0
100129	TL_gamble	B100129	100129	M100129	S100129	0	赌	性格贪婪，嗜赌如命，和他做任何交易都必须通过赌局。精于各种赌术，且千术高超，从未失手。心机深重，虽在四大凶徒中名列最末，却实为四人中的智囊。	1	33	七大恶人	0
